Column1,productname,productsubname,productprice,productactualprice,productrate
273,Bewakoof®,Men's Blue Customizable Oversized T-shirt,649,1399,0
274,Bewakoof®,Men's Pink Beast Within Graphic Printed Oversized T-shirt,549,1499,4.4
275,Bewakoof®,Men's Black Gimme a Break Graphic Printed Oversized T-shirt,599,1299,4.4
276,Bewakoof®,Men's Orange Common Sense Graphic Printed T-shirt,569,1499,4.5
277,Bewakoof®,Men's Chocolate Brown Social Anxiety Graphic Printed T-shirt,539,1499,4.5
278,bewakoof x disney,Men's Red Busy Doin Nothing (DL) Graphic Printed T-shirt,571,1299,4.5
279,Bewakoof®,Men's Black Killmonger Graphic Printed Oversized T-shirt,499,1299,4.4
280,bewakoof x garfield,Men's Green Exercising Garfield Graphic Printed T-shirt,499,1399,4.5
281,bewakoof x naruto,Men's Brown Naruto & Ramen Graphic Printed Super Loose Fit T-shirt,824,1899,4.4
282,bewakoof x garfield,Men's Blue Dont Share Food Graphic Printed T-shirt,539,1399,4.5
283,Bewakoof®,Men's Black Game Over Minimal Typography T-shirt,377,1299,4.5
284,bewakoof x marvel,Men's Black Marvel Moon Knight Graphic Printed T-shirt,499,999,4.4
285,bewakoof x minions,Men's Brown Unique Minion Graphic Printed T-shirt,599,1799,4.4
286,Bewakoof Air® 1.0,Men's Purple U Make Me Thorny Graphic Printed Oversized T-shirt,699,1499,4.4
287,Bewakoof Air® 1.0,Men's Granite Green Weekend plants Graphic Printed Oversized T-shirt,699,1599,4.5
288,bewakoof x one piece,Men's Black Pirate Crew Graphic Printed Oversized T-shirt,699,1299,4.4
289,bewakoof x minions,Men's White Think Like a Pro Typography Oversized T-shirt,519,1149,4.3
290,bewakoof x garfield,Men's White Garfield Graphic Printed Oversized T-shirt,620,1549,4.5
291,bewakoof x peanuts,Men's White Snoop Mood Graphic Printed Oversized T-shirt,699,1699,4.4
292,bewakoof x marvel,Men's Baby Lavender King of Wakanda Graphic Printed Oversized T-shirt,699,1549,4.6
293,bewakoof x harry potter,Men's Black Crestmark Graphic Printed Oversized T-shirt,799,1899,4.5
294,Bewakoof®,Men's Green All Over Printed Oversized T-shirt,549,1199,5
295,Bewakoof®,Men's Granite Green Street Racer Graphic Printed T-shirt,639,1599,4.5
296,Bewakoof Heavy Duty® 1.0,Men's Beige Noctournal Graphic Printed Oversized T-shirt,829,1999,4.5
297,Bewakoof Heavy Duty® 1.0,Men's Skipper Blue Noctournal Graphic Printed Oversized T-shirt,799,1999,4.4
298,Bewakoof®,Men's Blue Seek Balance Graphic Printed Oversized T-shirt,649,1499,4.3
299,Bewakoof®,Men's Black Brain Wash Graphic Printed Oversized T-shirt,599,1499,0
300,Bewakoof®,Men's Green Oversized T-shirt,599,999,0
301,bewakoof x marvel,Men's Black Ghost Rider Spirit of Vengeance Graphic Printed Oversized T-shirt,649,1299,0
302,bewakoof x garfield,Men's Brown Its Monday Again Graphic Printed Oversized T-shirt,599,1399,4.3
303,bewakoof x harry potter,Men's Beige Gryffindor Graphic Printed Oversized T-shirt,581,1399,4.6
304,Bewakoof Air® 1.0,Men's Orange Peace Seeker Graphic Printed T-shirt,544,1599,4.4
305,Bewakoof®,Men's Gardenia Textured Flatknit Polo T-shirt,1049,2499,4.4
