Column1,productname,productsubname,productprice,productactualprice
264,FRIENDS: The Frame,Oversized T-Shirts,899,899
265,Looney Tunes: The Squad,T-Shirts,549,549
266,Shazam: Realm of Gods,Oversized T-Shirts,849,849
267,Mickey Mouse: Yo,Oversized T-Shirts,999,999
268,Top Gun: Logo,T-Shirts,799,799
269,Solids: Light Orange,Oversized T-Shirts,799,799
270,Truck Art: Black Panther,Oversized T-Shirts,749,999
271,Tie-Dye: Blue Topaz,Oversized Full Sleeve T-Shirts,999,999
272,Solids: Soft Brown,Oversized T-Shirts,999,999
273,Solids: Powder Blue,T-Shirts,449,599
274,TSS Originals: Acid Drip,Oversized T-Shirts,1299,1299
275,Wolverine: Come Together,Oversized T-Shirts,1299,1299
276,Harry Potter: Snitch 07,Oversized Polos,1299,1299
277,Dexter: Power of Science,Oversized T-Shirts,1049,1049
278,TSS Originals: Merlot Navy,Oversized Full Sleeve T-Shirts,799,1199
